aalib1 1.4p5-22
libcroco1 0.3.0-0
libcroco2 0.5.1-1
libcroco3 0.6.0-2
libcrypto++5.1 5.1-5
libcupsimage2 1.1.20final+rc
libcupsys2-gnu 1.1.20final+rc
libcurl2 7.11.2-8
libcurl3 7.12.1-1
libdate-manip- 5.42a-2
libdb1-compat 2.1.3-7
libdb2 2.7.7.0-9
libdb3 3.2.9-20
libdb3++c102 3.2.9-20
libdb3-util 3.2.9-20
libdb4.0 4.0.14-2
libdb4.1 4.1.25-17
libdb4.2 4.2.52-17
libdb4.2++ 4.2.52-17
libdbh1.0-1 1.0.15-1
libdebtags0 0.9.5
libdns11 9.2.3+9.2.4-rc
libdns5 9.2.1-2.woody.
libdns9 9.2.2+9.2.3rc1
libdps1 4.3.0.dfsg.1-4
libdv2 0.99-2
libdv4 0.103-1
libdvbpsi2 0.1.3-1
libdvdcss2 1.2.8-0.0
libdvdnav4 0.1.9-3
libdvdplay0 1.0.1-6
libdvdread3 0.9.4-5
libeel2-2 2.6.2-1
libeel2-data 2.6.2-1
libefs1 1.0.22-2.2
libenchant1 1.1.4+cvs.2004
libesd-alsa0 0.2.29-1
libesmtp5 1.0.3-1
libestools1.2c 1.2.3-8
libexif-gtk4 0.3.3-5
libexif10 0.6.9-1
libexif9 0.5.12-1
libexpat1 1.95.6-8
libfam0c102 2.7.0-5
libfinance-quo 1.08-1
libflac++2c102 1.1.0-11
libflac4 1.1.0-11
libfontconfig1 2.2.3-1
libfreetype6 2.1.7-2.2
libfribidi0 0.10.4-3
libgail-common 1.6.6b-1
libgail-gnome- 1.0.2-2
libgail17 1.6.6b-1
libgal2.0-6 1.99.11-1
libgal2.0-comm 1.99.11-1
libgal23 0.24-1.3
libgcc1 3.4.1-4sarge1
libgcj-common 3.3.4-6sarge1.
libgcj4 3.3.4-6sarge1.
libgconf11 1.0.9-6
libgconf2-4 2.6.4-2
libgcrypt1 1.1.12-8
libgcrypt11 1.2.0-4
libgcrypt7 1.1.90-9
libgda2-1 1.0.4-1
libgda2-common 1.0.4-1
libgdbm3 1.8.3-2
libgdbmg1 1.7.3-28
libgdk-pixbuf- 0.22.0-7
libgdk-pixbuf2 0.22.0-7
libgdkcardimag 2.6.2-3
libghttp1 1.0.9-15
libgimp1.2 1.2.5-4
libgimp2.0 2.0.4-1
libgimpprint1 4.2.7-2
libgksu0 1.0.5-1
libgksu1.2-0 1.2.3-1
libgksuui1.0-0 1.0.2-1
libglade-gnome 0.17-3
libglade0 0.17-3
libglade2-0 2.4.0-1
libgle3 3.1.0-5
libglib-perl 1.043-1
libglib1.2 1.2.10-9
libglib2.0-0 2.4.6-2
libglpng 1.45-3
libglut3 3.7-25
libgnet2.0-0 2.0.4-1
libgnome-deskt 2.6.1-2
libgnome-keyri 0.2.1-3
libgnome-mag1 0.11.2-1
libgnome-pilot 2.0.10-6
libgnome-speec 0.3.2-3
libgnome-vfs-c 1.0.5-5
libgnome-vfs0 1.0.5-5
libgnome2-0 2.6.1.2-2
libgnome2-canv 1.002-1
libgnome2-comm 2.6.1.2-2
libgnome2-perl 1.011-1
libgnome2-vfs- 1.003-1
libgnome32 1.4.2-19
libgnomebt0 0.5.1-1
libgnomecanvas 2.6.1.1-2
libgnomecanvas 2.6.1.1-2
libgnomecups1. 0.1.11-1
libgnomecupsui 0.18-2
libgnomeprint- 0.37-5
libgnomeprint- 0.37-5
libgnomeprint1 0.37-5
libgnomeprint2 2.6.2-3
libgnomeprint2 2.6.2-3
libgnomeprintu 2.6.2-1
